,phrase,label,sentiment,subjectivity,language,count
Japan,,,,,,
Philippinen,,,,,,
Japans,,,,,,
Indonesien,,,,,,
Pazifik,,,,,,
Erde,,,,,,
Flores,,,,,,
Indonesiens,,,,,,
Deutschland,,,,,,
Erdbeben,,,,,,
Erdbeben der Stärke,,,,,,
Tokio,,,,,,
Tsunami,,,,,,
Tsunami-Warnung,,,,,,
Erdbeben auf den Philippinen,,,,,,
Alaska,,,,,,
Fukushima,,,,,,
Ukraine,,,,,,
"Erdbeben der Stärke 7,5",,,,,,
Erdbeben vor der Küste,,,,,,
Südinsel,,,,,,
Neuseeland,,,,,,
Kokain,,,,,,
Mindanao,,,,,,
Sulawesi,,,,,,
Europa,,,,,,
Hokkaido,,,,,,
Insel Mindanao,,,,,,
Venezuela,,,,,,
Bebens,,,,,,
Erdbeben vor der Küste Japans,,,,,,
Hamburger Hafen,,,,,,
…,,,,,,
Tsunami-Wellen,,,,,,
Frankreich,,,,,,
Erdbeben in Japan,,,,,,
Provinz Sarangani,,,,,,
Italiens,,,,,,
Asien,,,,,,
Pazifischen Feuerring,,,,,,
"Erdbeben der Stärke 7,4",,,,,,
Molukkensee,,,,,,
Richterskala,,,,,,
Italien,,,,,,
Erdbeben vor Tsunami,,,,,,
Landes,,,,,,
Küste,,,,,,
Tsunamiwellen,,,,,,
Kamtschatka,,,,,,
Hamburg,,,,,,
Pazifischen Ozean,,,,,,
Mallorca,,,,,,
Mecklenburg-Vorpommern,,,,,,
Aceh,,,,,,
"Erdbeben der Stärke 7,1",,,,,,
Atomkraftwerk Fukushima Daiichi,,,,,,
Kyushu,,,,,,
Erschütterungen,,,,,,
Gebiet,,,,,,
Sri Lanka,,,,,,
Kollaps,,,,,,
Tsunamis,,,,,,
Südostasien,,,,,,
"Erdbeben der Stärke 7,7",,,,,,
Japans Küste,,,,,,
Tsunami-Gefahr,,,,,,
Land,,,,,,
Thailand,,,,,,
Caracas,,,,,,
Niederlanden,,,,,,
Insel Sulawesi,,,,,,
Seebeben,,,,,,
Kalabriens,,,,,,
Taiwans,,,,,,
Präfektur Iwate,,,,,,
Kumamoto,,,,,,
3D.,,,,,,
Tsunami-Katastrophe,,,,,,
Millionenwert,,,,,,
Eiffelturm,,,,,,
Präfektur Aomori,,,,,,
Mega-Tsunami,,,,,,
Europas,,,,,,
Insel Honshu,,,,,,
Absatzvolumens,,,,,,
Grönland,,,,,,
China,,,,,,
Busch,,,,,,
Guatemala,,,,,,
Nordostjapan,,,,,,
Fukushima-GAU,,,,,,
Winschoterdiep-Kanal,,,,,,
Erdbeben vor der Küste des Inselstaats,,,,,,
Schweres Erdbeben vor der Küste Indonesiens,,,,,,
Straße von Hormus,,,,,,
Spanien,,,,,,
Mittelmeer,,,,,,
Neuwahlen,,,,,,
Schäden,,,,,,
Palaus,,,,,,
Smartphone-Markt,,,,,,
Blumenerde-Laster,,,,,,
Digos,,,,,,
Neuseelands,,,,,,
Nordjapan,,,,,,
Präfektur Shimane,,,,,,
"Erdbeben der Stärke 6,2",,,,,,
Crans-Montana,,,,,,
Kalenderblatt,,,,,,
Russland,,,,,,
Flughafen,,,,,,
Flores-Insel,,,,,,
Tiroler,,,,,,
na…,,,,,,
Behördenangaben,,,,,,
Gebäuden,,,,,,
Notstand,,,,,,
Richter-Skala,,,,,,
Kamatsch…,,,,,,
Russlands,,,,,,
Tsunami-Warnungen,,,,,,
Atombombe,,,,,,
"Erdbeben der Stärke 7,8",,,,,,
Mon…,,,,,,
Taiwan,,,,,,
"Erdbeben der Stärke 7,8 - Tsunami-Warnung",,,,,,
Tsunami-Entwarnung,,,,,,
Aditya Assarats,,,,,,
Tyrrhenischen Meer,,,,,,
Balkanhalbinsel,,,,,,
Starkes Erdbeben,,,,,,
Tracy-Arm-Fjord,,,,,,
Hang f…,,,,,,
Gefahr,,,,,,
Alaskas,,,,,,
Erdrutsch,,,,,,
General Santos City,,,,,,
Tsunami-Alarm,,,,,,
"Erdbeben der Stärke 7,8 auf der Insel Mindanao",,,,,,
Nachbeben,,,,,,
Kassen,,,,,,
Mittelmeerinsel,,,,,,
Erdbeben vor der Insel Kyushu,,,,,,
Präfektur Kumam…,,,,,,
Stromausfälle,,,,,,
"Erdbeben der Stärke 7,7 vor der indonesischen Insel",,,,,,
Pazifische Feuerring,,,,,,
Komodo-Nationalpark,,,,,,
Tauchtouristen,,,,,,
Ortes Ende,,,,,,
Mexikos,,,,,,
Zentrum der Insel,,,,,,
Stadt Maumere,,,,,,
Erdbeben vor der zu Indonesien,,,,,,
Maum…,,,,,,
Opferzahl,,,,,,
Erdbeben in Indonesien,,,,,,
Landes“ – Selenskyj,,,,,,
Sama…,,,,,,
d…,,,,,,
El Salvador,,,,,,
Mexiko,,,,,,
Erdbeben vor den Philippinen,,,,,,
Kernkraftwerk Fukushima Daiichi,,,,,,
Israel,,,,,,
Iran,,,,,,
Santos City,,,,,,
Erdbeben von 2011 Japan,,,,,,
Erdbeben von 2011,,,,,,
Reaktor-Katastrophe von Fukushima,,,,,,
"Erdbeben der Stärke 9,0 Japan",,,,,,
Mega-Erdbeben,,,,,,
Kernkraftwerk Fukushima,,,,,,
Erdbeben des laufenden Jahres,,,,,,
Java,,,,,,
Trümmern,,,,,,
Entenburg,,,,,,
Stockwerken,,,,,,
Krankenhaus-Chef,,,,,,
Insolvenz-Tsunami,,,,,,
U.S.,,,,,,
nan Neuseelands,,,,,,
Touristenzielen,,,,,,
Erdbeben in Neuseeland,,,,,,
Flutwelle,,,,,,
Erdbeben vor Indonesien,,,,,,
Süd-Alaska,,,,,,
Monsterwelle,,,,,,
Innenstadt,,,,,,
Weihnachtsmarkt,,,,,,
Bohrkerne,,,,,,
Südwesteuro…,,,,,,
Zielhafen Hamburg,,,,,,
Weltgrößtes Atomkraftwerk,,,,,,
Fukushima Daiichi,,,,,,
MUT-Talk,,,,,,
B…,,,,,,
Kashiwazaki-Kariwa,,,,,,
Rom,,,,,,
Morgen,,,,,,
Eis-Tsunami,,,,,,
Volksrepublik,,,,,,
Peking,,,,,,
Tote,,,,,,
Moskau,,,,,,
Schneemassen,,,,,,
Niigata,,,,,,
Kyodo,,,,,,
Unglücksbar,,,,,,
EVP-Chef,,,,,,
Pleite-Tsunami,,,,,,
Lichter… Magdeburg,,,,,,
Magdeburg,,,,,,
Starkbebenarchiv,,,,,,
Erdbeben v…,,,,,,
Shoah-Namensmauer,,,,,,
Wiener Ostarrichipark,,,,,,
Sumatra,,,,,,
s…,,,,,,
Südostasiens,,,,,,
Tropensturm,,,,,,
Nasa-Satellit,,,,,,
Titisee,,,,,,
Dresdens Sportchef-Suche stockt,,,,,,
Erdbeben vor Japan,,,,,,
Naturkatastrophe,,,,,,
Präfektur Aomori…,,,,,,
"Erdbeben der Stärke 7,6Tsunami-Warnung",,,,,,
Starkes Erdbeben vor der Küste,,,,,,
Sicherheitsüberprüfungen,,,,,,
Sicherheits…,,,,,,
Erdbeben vor Hokkaido,,,,,,
Evakuierungen,,,,,,
Tsunami-Warnstufe,,,,,,
T…,,,,,,
Capcom,,,,,,
"Erdbeben der Stufe 7,5 vor der Küste",,,,,,
Dänemark,,,,,,
Wolfgangsee,,,,,,
Gesteinsmassen,,,,,,
Erdbeben vor Küste Japans,,,,,,
Stößen,,,,,,
Sulawesis,,,,,,
Malaysia,,,,,,
Tsunam…,,,,,,
Manado,,,,,,
Nord-Sulawesi begrab…,,,,,,
Schweres Erdbeben,,,,,,
"Erdbeben der Stärke 7,4 vor der indonesischen Insel",,,,,,
Portugal,,,,,,
Live-Streaming,,,,,,
"Japans
",,,,,,
Hachinohe,,,,,,
Erdbeben vor Japans,,,,,,
"Erdbeben der Stärke 7,5 ha…",,,,,,
hö…,,,,,,
Mini-Tsunami,,,,,,
Börsenmärkten,,,,,,
Mega-Beben,,,,,,
japanische Regierung,,,,,,
Katastrophe,,,,,,
Kreuzfahrtschiffen,,,,,,
Tiefe,,,,,,
Honsh,,,,,,
Michinoku Coastal Trail,,,,,,
St. Gilgen,,,,,,
Hawaii,,,,,,
Flachgau,,,,,,
Berg,,,,,,
See,,,,,,
Indien,,,,,,
Karussell,,,,,,
Milliarden-Fehlinvestitionen,,,,,,
Milliardenhöhe,,,,,,
Tohoku-Region,,,,,,
Bebens vor der Küste,,,,,,
US-Nordwestküste,,,,,,
Schwarze Säcke,,,,,,
Markts für Wohneigentum,,,,,,
Erdbeben – Tsunami,,,,,,
Erdbeben Tsunami Atomunfall,,,,,,
Japaner,,,,,,
Frankreichs Küste,,,,,,
Nizza,,,,,,
TTS-Player überspringenArtikel weiterlesenNizza,,,,,,
französischen Küste,,,,,,
Babyboomer-Häuser,,,,,,
Kolumne,,,,,,
Babyboomer,,,,,,
Zugzwang,,,,,,
