day,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2025-10-21,0.9127330909150934,1.0,-0.47191035854605634,1.0,1.0
2025-10-23,-0.5342452755079888,1.0,-0.6749580291590203,1.0,1.0
2025-10-24,0.28010983651206145,1.0,-0.3953329688859207,1.0,1.0
2025-10-31,-0.711470344587686,1.0,-0.2717477745777457,1.0,1.0
2025-11-05,-0.5342452755079888,1.0,1.763600011673569,1.0,1.0
2025-11-07,-1.690448652591956,1.0,-0.3953329688859207,1.0,1.0
2025-11-09,-0.8377540060858327,1.0,-0.2717477745777457,1.0,1.0
2025-11-15,-1.4922589863358218,1.0,,1.0,1.0
2025-11-17,0.1894366556247364,1.0,,1.0,1.0
2025-11-21,0.05891224337172686,1.0,-0.6749580291590203,1.0,1.0
2025-11-25,2.00818283609592,1.0,-0.31303926382764913,1.0,1.0
2025-12-03,-0.473047094532811,0.013195126450283647,2.7942250920011102,1.0648796754830503,2.0
2025-12-04,-0.7071067811865477,1.0,,1.0,1.0
2025-12-05,-0.0273959714511417,1.770984434722883,-0.2923935192026974,0.029197492053898155,2.0
2025-12-07,0.7071067811865475,1.0,,1.0,1.0
2025-12-08,-0.1180451926958809,1.3237951195181366,-0.37651170592774025,0.14954722491981756,22.0
2025-12-09,-0.1505505890433282,0.772465327314852,-0.18116518305183046,0.1568936508041432,5.0
2025-12-11,-0.7071067811865476,1.0,,1.0,1.0
2025-12-12,0.4654440277196864,0.7238349403963309,-0.33368106851823576,0.02919192014528418,5.0
2025-12-15,0.0,1.0,0.0,1.0,1.0
2025-12-18,-0.21579576537294395,0.130051049151422,-0.31303663720473907,0.04128754937820084,3.0
2025-12-22,-0.5970645772701587,1.0614372479037009,-0.44515024249672397,0.20743865921465926,3.0
2025-12-23,-0.7472961115813228,1.0,-0.3887449237534059,1.0,1.0
2025-12-24,0.4865380473729141,0.548129722215778,-0.2672612419124244,1.0,2.0
2026-01-06,0.8548560625007332,1.0,-0.3953329688859207,1.0,1.0
2026-01-09,-0.22051902125360023,1.0,-0.3779644730092272,1.0,1.0
2026-01-12,-0.14638481950342797,1.3973371628235887,-0.3887449237534059,1.0,2.0
2026-01-14,-0.0015757515808397429,1.0,-0.31303926382764913,1.0,1.0
2026-01-15,0.8299065519741128,1.0,-0.31303926382764913,1.0,1.0
2026-01-16,0.16762137152866313,1.0,0.3641486940627249,1.0,1.0
2026-01-19,0.3819407331417634,0.9630537523989358,-0.38169068361194536,0.038703928644551966,3.0
2026-01-22,0.12733697502363522,1.4131653505780157,0.6874275439600815,1.5219376992929359,2.0
2026-01-28,0.6520697622514428,1.0,-0.6749580291590203,1.0,1.0
2026-01-29,1.1070143809856297,1.0,-0.2717477745777457,1.0,1.0
2026-02-02,-0.007891064186585799,1.0,-0.47191035854605634,1.0,1.0
2026-02-08,-0.3100130596422745,0.37781552078575115,-0.29412009905066233,0.41594863304396473,2.0
2026-02-19,0.5206836614515299,0.5964189127413142,-0.2672612419124244,0.0,2.0
2026-02-20,-0.7071067811865475,1.0,0.7071067811865475,1.0,1.0
2026-02-27,-0.10394553209329291,0.13584153124019638,0.8365683628770999,1.1830863246330514,2.0
2026-03-02,-0.7071067811865475,1.0,,1.0,1.0
2026-03-03,-2.176076695892729,1.0,-0.5882401981013247,1.0,1.0
2026-03-06,0.04623162440119555,1.0,-0.2717477745777457,1.0,1.0
2026-03-11,-1.0345721634219747,0.6627706177763597,0.30438218278236817,1.4859489178496568,4.0
2026-03-12,0.32429267831411807,0.7704800944682033,0.9449111825230678,1.8708286933869704,2.0
2026-03-15,-0.7650747981594419,1.0,2.268926478390824,1.0,1.0
2026-03-18,-0.09301110401655949,1.0,3.4331328808583916,1.0,1.0
2026-03-19,1.0357190033491008,1.0,2.4100984098575315,1.0,1.0
2026-03-20,0.0029703499038396877,0.1357382738705168,-0.3280030828329151,0.0859019352332671,2.0
2026-03-23,0.08305398760165976,1.0,1.5319152544329429,1.0,1.0
2026-04-01,0.5772967832649236,0.9852535314209759,-0.3837720291420304,0.027304485293527178,4.0
2026-04-02,-0.18109925632948173,0.6713317138680699,-0.3785869284116953,0.132302559106737,9.0
2026-04-03,0.36980594929925503,0.10608266374456157,-0.33368106851823576,0.02919192014528418,2.0
2026-04-14,0.030972104763233088,1.807444260398807,0.8055918901877809,1.0,2.0
2026-04-20,0.3015231625068781,1.1236060881680445,0.28321904885909505,1.4188367947010925,21.0
2026-04-21,-0.155211400521699,0.5311355875842863,0.1650194716946217,0.8995273278947247,3.0
2026-04-27,0.7148448258495959,0.9831185305366553,-0.37318090976424284,0.021940854892462756,5.0
2026-05-07,0.8481319547239287,0.7412980398592133,-0.4210660757534483,0.3672226513556105,3.0
2026-05-08,-0.2573676357710976,1.5669741272041504,-0.3520356869299592,0.037904619138097805,3.0
2026-05-11,0.6095513069755809,1.4536057065914336,0.6414435173450207,1.2914475100781844,2.0
2026-05-19,-0.8846759738072327,1.0,-0.47191035854605634,1.0,1.0
2026-05-26,-0.4385984163446053,0.6856532190686118,-0.26950450824508504,0.0031724576716636362,2.0
2026-06-02,0.8297503894424367,1.1734442541338514,-0.09766648444296033,0.42096397936315444,2.0
2026-06-08,-0.30873374337871484,0.9910698689470145,0.17839321684211487,1.1068824503864652,35.0
2026-06-10,-0.6928269314305537,1.0,0.6899046242343688,1.0,1.0
2026-06-14,-0.6136113176118008,1.0,1.3165375862267745,1.0,1.0
2026-06-16,0.06091067729349975,0.8465888370019287,-0.37247690890954605,0.051929979295960375,3.0
