keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'Erdbeben Aufräumarbeiten',-0.26861621286529874,0.30398622629325905,1.5550872191314324,1.8073843163434746,3.0
'Erdbeben Epizentrum',0.09155309235862671,0.880678215212697,-0.058419580700717254,0.956206362026219,42.0
'Erdbeben Erdplatte',0.2778415677218525,0.9381529334287028,0.4505689438348228,1.5750013332891226,6.0
'Erdbeben Hilfsgüter',0.264660600708724,1.3076159820751756,-0.023325061836724004,0.8224405873763911,4.0
'Erdbeben Plattengrenze',0.25695204230632107,0.6569008287056808,0.18874218606957383,1.0046535288754241,2.0
'Erdbeben Rettungsarbeiten',-0.4205972483621239,1.0431793382627839,-0.28680905606181084,0.5796251138163938,13.0
'Erdbeben Rettungskräfte',-0.3509110576139596,0.8873201864885307,-0.09801770511523351,0.9679055148997242,18.0
'Erdbeben Schäden',0.12914740357441257,0.8340596056947124,-0.10760125938708892,0.798877539928388,84.0
'Erdbeben Spenden',-0.13724744983645942,0.9632867287979978,0.2372918884073501,1.1688373402012577,9.0
'Erdbeben Tote',-0.07885279197921995,0.8568142028525719,0.5558619422764848,1.5366867409088416,84.0
'Erdbeben Trümmer',-0.2205403209540191,1.1376545683458117,-0.017314704177250468,0.9066119926276263,28.0
'Erdbeben Verletzte',-0.042615657787564876,0.9665424358850112,0.2567931202233249,1.1084338337084685,65.0
'Erdbeben Verwerfung',0.11610795584912237,1.0407796473366713,0.04496135618787365,1.1233139738315714,10.0
'Erdbeben verschüttet',-0.8259802198380576,1.106033786781876,-0.1533251105004483,1.357608184013474,12.0
'Erdbeben Überlebende',-0.4409752646492534,0.8160795930193555,0.5168333487188516,1.20054979283358,21.0
'Erdbeben',-0.004806166540226806,1.012675536466854,-0.058537526778501825,0.9090504759288629,818.0
'Schwarmbeben',-0.01819946604074832,1.0,1.4489881879047535,1.0,1.0
'erdbebensicher',0.11266807304546682,0.8973031381533125,-0.5451961067415936,0.08977198826311061,3.0
'schweres Erdbeben',0.3658016736361474,0.7983259222059023,-0.32150808154910965,0.4262106563239876,37.0
'starkes Erdbeben',0.40015846480610506,0.9737260640907303,-0.10891488938475143,0.7839788417872467,52.0
